action_id,region_id,action_title,owner,detail,estimated_effort_hours,expected_weekly_hours_saved,expected_cost_avoidance,status
ACT001,REG06,Reconcile first visit fix definition,Analytics,"Align numerator and denominator across lakehouse, BI, and operations extracts",8,16.0,291698.0,queued for weekly review
ACT002,REG06,Refresh late status coaching packet,Field operations,Target districts with delayed completion updates and high repeat visits,11,20.7,251292.0,ready for manager review
ACT003,REG06,Add appointment dedupe assertion,Data platform,Block duplicate appointment events before gold KPI tables refresh,6,11.2,236434.0,ready for manager review
ACT004,REG06,Route rural overflow by drive-time band,Field operations,Move capacity from low-risk districts into longer drive-time appointment clusters,16,27.9,366556.0,queued for weekly review
ACT005,REG06,Publish manager KPI digest,Analytics,"Send weekly rank, root cause, and next action summary to field leaders",6,10.8,425192.0,ready for manager review
ACT006,REG02,Reconcile first visit fix definition,Analytics,"Align numerator and denominator across lakehouse, BI, and operations extracts",13,16.8,226458.0,needs data owner
ACT007,REG02,Refresh late status coaching packet,Field operations,Target districts with delayed completion updates and high repeat visits,12,20.3,197973.0,needs data owner
ACT008,REG02,Add appointment dedupe assertion,Data platform,Block duplicate appointment events before gold KPI tables refresh,9,12.7,304783.0,queued for weekly review
ACT009,REG02,Route rural overflow by drive-time band,Field operations,Move capacity from low-risk districts into longer drive-time appointment clusters,17,18.8,278923.0,needs data owner
ACT010,REG02,Publish manager KPI digest,Analytics,"Send weekly rank, root cause, and next action summary to field leaders",7,8.6,279169.0,ready for manager review
ACT011,REG05,Reconcile first visit fix definition,Analytics,"Align numerator and denominator across lakehouse, BI, and operations extracts",10,11.4,235342.0,queued for weekly review
ACT012,REG05,Refresh late status coaching packet,Field operations,Target districts with delayed completion updates and high repeat visits,16,24.4,270491.0,needs data owner
ACT013,REG05,Add appointment dedupe assertion,Data platform,Block duplicate appointment events before gold KPI tables refresh,9,11.4,265627.0,queued for weekly review
ACT014,REG05,Route rural overflow by drive-time band,Field operations,Move capacity from low-risk districts into longer drive-time appointment clusters,20,20.8,338713.0,queued for weekly review
ACT015,REG05,Publish manager KPI digest,Analytics,"Send weekly rank, root cause, and next action summary to field leaders",8,9.6,452346.0,ready for manager review
ACT016,REG04,Reconcile first visit fix definition,Analytics,"Align numerator and denominator across lakehouse, BI, and operations extracts",12,15.7,399711.0,ready for manager review
ACT017,REG04,Refresh late status coaching packet,Field operations,Target districts with delayed completion updates and high repeat visits,17,23.6,220183.0,ready for manager review
ACT018,REG04,Add appointment dedupe assertion,Data platform,Block duplicate appointment events before gold KPI tables refresh,4,9.4,190717.0,queued for weekly review
ACT019,REG04,Route rural overflow by drive-time band,Field operations,Move capacity from low-risk districts into longer drive-time appointment clusters,16,23.5,194475.0,ready for manager review
ACT020,REG04,Publish manager KPI digest,Analytics,"Send weekly rank, root cause, and next action summary to field leaders",7,10.7,359744.0,needs data owner
ACT021,REG10,Reconcile first visit fix definition,Analytics,"Align numerator and denominator across lakehouse, BI, and operations extracts",11,15.3,258912.0,needs data owner
ACT022,REG10,Refresh late status coaching packet,Field operations,Target districts with delayed completion updates and high repeat visits,17,20.4,308099.0,ready for manager review
ACT023,REG10,Add appointment dedupe assertion,Data platform,Block duplicate appointment events before gold KPI tables refresh,4,10.8,154807.0,ready for manager review
ACT024,REG01,Reconcile first visit fix definition,Analytics,"Align numerator and denominator across lakehouse, BI, and operations extracts",7,14.5,407486.0,needs data owner
ACT025,REG01,Refresh late status coaching packet,Field operations,Target districts with delayed completion updates and high repeat visits,16,18.0,621462.0,queued for weekly review
ACT026,REG01,Add appointment dedupe assertion,Data platform,Block duplicate appointment events before gold KPI tables refresh,10,12.0,301378.0,ready for manager review
ACT027,REG03,Reconcile first visit fix definition,Analytics,"Align numerator and denominator across lakehouse, BI, and operations extracts",8,15.1,274871.0,ready for manager review
ACT028,REG03,Refresh late status coaching packet,Field operations,Target districts with delayed completion updates and high repeat visits,11,16.9,377978.0,needs data owner
ACT029,REG03,Add appointment dedupe assertion,Data platform,Block duplicate appointment events before gold KPI tables refresh,7,9.0,271696.0,queued for weekly review
ACT030,REG12,Reconcile first visit fix definition,Analytics,"Align numerator and denominator across lakehouse, BI, and operations extracts",11,12.5,383627.0,queued for weekly review
ACT031,REG12,Refresh late status coaching packet,Field operations,Target districts with delayed completion updates and high repeat visits,12,18.4,296748.0,queued for weekly review
ACT032,REG12,Add appointment dedupe assertion,Data platform,Block duplicate appointment events before gold KPI tables refresh,8,10.4,197496.0,queued for weekly review
ACT033,REG11,Reconcile first visit fix definition,Analytics,"Align numerator and denominator across lakehouse, BI, and operations extracts",11,14.9,294448.0,ready for manager review
ACT034,REG11,Refresh late status coaching packet,Field operations,Target districts with delayed completion updates and high repeat visits,12,21.4,319922.0,ready for manager review
ACT035,REG11,Add appointment dedupe assertion,Data platform,Block duplicate appointment events before gold KPI tables refresh,8,11.4,533039.0,ready for manager review
